address,is-proxy
0xff9f54d133c0bee1103bb7d7c45abaec58e0b3b6,1
0xa56462912fab4c34460d52939eca7f51affff509,0
0x0f11e13af66fed2350936fa363a22b7d4d81f5c2,0
0xd44e8a6a7ac17f9c877d61628e1219a172099c59,0
0x3cd7bfa07ca2090dd65d4fd19e543ca09f2778e0,0
0x3e76838f3d2b81302e30b3863b23eb36322d7592,0
0x4043aad597c0535467d99b9c823486f837105361,0
0xec908edee25af9ca92321147ebf996395bf4c33a,0
0x79c0668793c539c16cd9bac6c22856af95370458,0
0x5bb61abaadbaea940361e0b9ed439ace03cf015b,0
0xa3d3f8180fa9d923e360d5fd64414dd30bb73897,0
0xa19b58ede04bfbb22fc27cac36c79105e836a6fd,0
0x4356f8c912d82e9e87820f3aff4c077d9a86478e,1
0xb044cb4013834e94f0b313e5baee77762092b8aa,0
0xbd6071d6bcdc722b27e4883ebd50ef69b5e14f25,0
0x3f9a8ffafb7b403880ae08e485ec1d2eccb006eb,0
0x1c8a426eb7db2998e5ddfa3b82ec206506212ae5,0
0x6e4b96b9daff7858def65f32cf522dcce751d25b,1
0x243b9036f4b16a043606e31470362bbcc79ad7cf,0
0xc7312d66734f893e099ae9b191324640bfca80d2,0
0x498377bb289f41734c592feefaa255c281d80420,1
0x78ddff23f8a09a51f983998f552b2110a7f457af,0
0x5d49a74b8923bbdba6321508a1baa4b94f43c5de,1
0x47339e9f2f1c082281db2a6ec5c521369ed3e4fe,0
0x5eca6977d2d9f449a883ebae26e0d3ac3ffbac5c,0
0xc48014e375a30557b8a2f5e7149b8796f9f6133d,1
0x141e0ef7a5c767747ccb20ce2aee4a1274da77da,1
0xae14e3e61d443fc2b257728f221cb77c5c6980bb,1
0x6d88f94b5cdff545df54cf523771d41eaa7b237a,1
0xfce8e0e1bb0bc974aab284044030d27028462310,0
0xc2d03dd02073d4a19126b14a7798f558cec65739,0
0xb4d7cbd4f24e03160165a9acd78c4cd81dc150a6,0
0xfabefbc391af3a2d7179c5f9b7773d0482354b76,0
0xf26ca4bb2425354e8773630a33a8d6c5f614329b,0
0x39c9599d78df5f460b881ae7f75f5634118935c8,1
0x9584bf10dce310d6003c20732ee9855c3a1c3065,0
0xe3ef5be449543f78d2361ccd9856470a5abf6cbd,0
0xd99fc5260e3b204605a4789fe2a5e24a6da9d0f7,0
0x9431483e7727d16293d4658ac9808b03bd78871f,0
0x73875623b29d3da682b27a029bd9012d0fc1d9e8,0
0x53a91f32a8165a420d256dcab4c6e81010285f52,0
0x2e34f8b2928ca1c3b239274ad734e970dc52259d,0
0xb7a27f22aed8d9c7b85cd760e6e7b9e0fa9a9b23,1
0x0d20f4a3eced0ae219d47f8d48b3b01ab78efb77,1
0x5fdf4eb9268c08f585871d0522cee644eecadd7b,1
0xae10b5d2566fa022663e8a5316c19c121b27868c,0
0x44aca10464ecb5c6900e599eac09b70fa2afa31e,0
0x1608fc92d2c682c9e71a69dfd193bbcc28fa6df9,1
0xf2609ac678393081037adae1e16a30a9c466b558,0
0xeb912ed071c628e977f3faa56dd76c136c676100,0
0x5b0201184a97102d2bc901974aef489431bb69dd,0
0x2b4b263cbc976ecfa005b61797270a4b1230e648,0
0xdd19b84e54b187641476507856b77592b436da12,0
0x4199aee55ed6966ad02aee26f992ed687ff36093,0
0xd26e72190135fbb4800aace11e4a26602b4c4ea0,0
0x97f969bbee79d931edd16bd9ed59c3e1de9085bb,0
0xa07f500e2f7622ff4d30691c4c096a86e2947eeb,0
0xd9b4f4be1cb98f8cba437ae2594e5774cae164b8,1
0xa49a4110d80f5632b7f8e298ae1043cd919c756e,0
0xf378ad658d62c3681e9a4c09cb47814442d357fc,0
0x66ad55e40e1f073679376ea3b86927c716bd8a96,0
0x072011e8912613971e5e32870d316015f194a286,0
0xd15ee6a44543a6307f5ff8579b229debe9716da6,0
0x5380997af50fae212a021d6e37a45b983190668f,1
0xf269f3ef53e14c734633dbcf6f276bc5001a8b96,1
0xde4a05ce8dc89083698704b8c9259a9cbb49e2b2,0
0xa7a71750c4517ec5a5d78b29749acfd5f1b15254,0
0xbcd482c29d3d00255ea02049a7a9bbbf07c7cc05,0
0xffbc7ea03864455abdb99ee901b11da2fadecb4b,1
0xf86911fd79d60a950ddae58328ca6da0d965fa15,0
0x85d10b8bff799df3e4f17d65f4b83d764ae47ff5,0
0x108a525abd9f07b181764ccdc6b90c1836bff1b0,0
0x963c4c5c191f511c06bea8e71cd1d6b9ee936b95,0
0xfd21b7cf505aad0ccdd8728721776d3f36257e56,1
0x94bff39991f0cc67fcbe03296a794d9d397d5344,0
0xd06bb891c7e0c359dff1a12c2607e7ec95b53803,0
0xcf9794234ab28402f481ef37b31db2ce495be74e,0
0xd1cb380522ba3b27d76e3e77a5757b6a30d7b444,1
0x3dc1d880a6c0892e6b1491beef27582322922a3f,0
0x7c1e307a9a77c737793caf0002424e48c6fb9739,1
0xb21036b5f42538f425038a5df81503b5a9d0b579,1
0x59c2f32a68fbe71739dc710a4d161ed3ccbc62a6,1
0x10c0370e5286e64c9bc44b2eba0023f2017fa558,0
0xf7ebe5a9e72f1ad62cbefbf68fd8c0cb53baf57b,0
0x19a4219346e30bdfe357f17f7aa0d94d4683d653,1
0x7b5356a73ec1bd23c768c878289ec4c9afcf0e28,0
0xaca87db61fd859a9c7698530affd1c22de59e72a,1
0x218d3c99916df116b9057c6fab01063dfcc9d9b1,1
0x467c5b7bcee37cbb12743d532805512b814bc8a0,0
0x10840722b094901448dc207df73fca3988e51d1c,1
0x69a71e0c8a7439100942abeebb6d5e1f5548f735,0
0x06b1637375c7ec9e449196ec9476be2aca012297,1
0x0a219e8a272020e21a95b316d880d0d028b507df,0
0xf1c25ab752703f3bacb8d81ab3e80ef5c89c61a0,0
0xac3af86d51559ad895489161bf6ce60589883555,0
0xf459f943d215fbb3f349d824f24f61198edd9fa9,0
0x764322a27b8f86cba42ceedb92e0bf863aab8119,0
0xdb3e74fec45115f2844fd701d9629653648a579b,0
